year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
2020,ALABAMA,AL,DALLAS,1047,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,12230,17864,20210622,TOTAL
2020,ALABAMA,AL,DALLAS,1047,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5524,17864,20210622,TOTAL
2020,ALABAMA,AL,DEKALB,1049,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4281,29356,20210622,TOTAL
2020,ALABAMA,AL,DEKALB,1049,PRESIDENT,DONALD J TRUMP,REPUBLICAN,24767,29356,20210622,TOTAL
2020,ALABAMA,AL,ELMORE,1051,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,10367,41030,20210622,TOTAL
2020,ALABAMA,AL,ELMORE,1051,PRESIDENT,DONALD J TRUMP,REPUBLICAN,30164,41030,20210622,TOTAL
2020,ALABAMA,AL,ESCAMBIA,1053,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4918,15910,20210622,TOTAL
2020,ALABAMA,AL,ESCAMBIA,1053,PRESIDENT,DONALD J TRUMP,REPUBLICAN,10869,15910,20210622,TOTAL
2020,ALABAMA,AL,ETOWAH,1055,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,11567,47728,20210622,TOTAL
2020,ALABAMA,AL,ETOWAH,1055,PRESIDENT,DONALD J TRUMP,REPUBLICAN,35528,47728,20210622,TOTAL
2020,ALABAMA,AL,FAYETTE,1057,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1395,8766,20210622,TOTAL
2020,ALABAMA,AL,FAYETTE,1057,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7300,8766,20210622,TOTAL
2020,ALABAMA,AL,FRANKLIN,1059,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2086,12578,20210622,TOTAL
2020,ALABAMA,AL,FRANKLIN,1059,PRESIDENT,DONALD J TRUMP,REPUBLICAN,10376,12578,20210622,TOTAL
2020,ALABAMA,AL,GENEVA,1061,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1595,12545,20210622,TOTAL
2020,ALABAMA,AL,GENEVA,1061,PRESIDENT,DONALD J TRUMP,REPUBLICAN,10848,12545,20210622,TOTAL
2020,ALABAMA,AL,GREENE,1063,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3884,4775,20210622,TOTAL
2020,ALABAMA,AL,GREENE,1063,PRESIDENT,DONALD J TRUMP,REPUBLICAN,875,4775,20210622,TOTAL
2020,ALABAMA,AL,HALE,1065,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4663,7900,20210622,TOTAL
2020,ALABAMA,AL,HALE,1065,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3192,7900,20210622,TOTAL
2020,ALABAMA,AL,HENRY,1067,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2606,9298,20210622,TOTAL
2020,ALABAMA,AL,HENRY,1067,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6607,9298,20210622,TOTAL
2020,ALABAMA,AL,HOUSTON,1069,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,12917,46173,20210622,TOTAL
2020,ALABAMA,AL,HOUSTON,1069,PRESIDENT,DONALD J TRUMP,REPUBLICAN,32618,46173,20210622,TOTAL
2020,ALABAMA,AL,JACKSON,1071,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3717,23636,20210622,TOTAL
2020,ALABAMA,AL,JACKSON,1071,PRESIDENT,DONALD J TRUMP,REPUBLICAN,19670,23636,20210622,TOTAL
2020,ALABAMA,AL,JEFFERSON,1073,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,181688,325848,20210622,TOTAL
2020,ALABAMA,AL,JEFFERSON,1073,PRESIDENT,DONALD J TRUMP,REPUBLICAN,138843,325848,20210622,TOTAL
2020,ALABAMA,AL,LAMAR,1075,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,978,7193,20210622,TOTAL
2020,ALABAMA,AL,LAMAR,1075,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6174,7193,20210622,TOTAL
2020,ALABAMA,AL,LAUDERDALE,1077,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,11915,44339,20210622,TOTAL
2020,ALABAMA,AL,LAUDERDALE,1077,PRESIDENT,DONALD J TRUMP,REPUBLICAN,31721,44339,20210622,TOTAL
