,democrat_percent,republican_percent,Lat,vaccine_doses_administered_in_state,Long_,pop per sq mi,republican_votes,black_pop,white_pop,Population
950,-0.004041351344048154,0.01321326838597283,0.19833166120376583,0.4437669753414141,0.49162638045601265,-0.08345228185590986,-0.09047342602407685,-0.03495873900008087,-0.11648528625812272,-0.11878407109746444
951,-0.3856914178407297,0.3845252493513122,0.08767721463694415,-0.39316514266580593,-0.0501099738601227,-0.10335033609090509,-0.3443149052361835,-0.23062024291097669,-0.319867334507126,-0.3049915741476614
952,1.270740700486184,-1.2830227694690208,-0.6551335150645716,-0.7225468620297434,-1.0623213874257988,-0.11007914670177305,0.17363875515522245,-0.15847709793585144,0.13322879652938455,0.11994867061811738
953,-0.04529822435119956,0.049072816246232255,0.37666258482562914,0.29460520339009283,0.8656804678950597,-0.07763666697080257,-0.16193630261798495,-0.20614893958272584,-0.1658817344838022,-0.187992689557905
954,-0.8326285871517611,0.8777199540622125,-1.6009830315796656,1.8586495033169625,-0.3976966887210094,-0.11719246077611917,-0.2995401433141966,-0.23160054734697488,-0.31286906883083226,-0.3002566016115924
955,-0.9368763311473002,0.9484765395930785,0.05216417549890164,-0.33958393332766434,0.7087182809751575,-0.09825566519981936,-0.3071597080623242,-0.23515868937393122,-0.30658820852936564,-0.2970181225261986
956,-0.8551176109062736,0.8870919281256231,-0.6855264496688666,-0.34857263918677633,0.5114104829708913,-0.10642636379873044,-0.40961143303908115,-0.23120116405823488,-0.3567923316803472,-0.33229501308256504
957,-0.9622106716413636,0.9946532672381877,-0.6613628942312932,-0.34857263918677633,0.438664631358181,-0.10147588170644901,-0.3050780743940213,-0.19514774535652407,-0.2926344364375295,-0.27899630589211205
958,-0.8860811140407951,0.8854964765897446,1.6035723753851143,-0.9332661378325613,-0.4768193548040348,-0.12555541110676932,-0.46029724905690933,-0.23632053166844758,-0.394453738344285,-0.36065776760614887
959,0.10065956314208742,-0.09572679951660971,1.1663093271637486,-0.3498342863468287,-0.1538952669630341,-0.120797180746227,-0.4323522989626166,-0.23446884551156214,-0.3705370584973993,-0.342390458788019
