,match_col
377,Okeechobee County
378,Orange County
379,Osceola County
380,Palm Beach County
381,Pasco County
382,Pinellas County
383,Polk County
384,Putnam County
385,St. Johns County
386,St. Lucie County
387,Santa Rosa County
388,Sarasota County
389,Seminole County
390,Sumter County
391,Suwannee County
392,Taylor County
393,Union County
394,Volusia County
395,Wakulla County
396,Walton County
397,Washington County
398,Georgia
399,Appling County
400,Atkinson County
401,Bacon County
402,Baker County
403,Baldwin County
404,Banks County
405,Barrow County
406,Bartow County
407,Ben Hill County
408,Berrien County
409,Bibb County
410,Bleckley County
411,Brantley County
412,Brooks County
413,Bryan County
414,Bulloch County
415,Burke County
416,Butts County
417,Calhoun County
418,Camden County
419,Candler County
420,Carroll County
421,Catoosa County
422,Charlton County
423,Chatham County
424,Chattahoochee County
425,Chattooga County
426,Cherokee County
427,Clarke County
428,Clay County
429,Clayton County
430,Clinch County
431,Cobb County
432,Coffee County
433,Colquitt County
434,Columbia County
435,Cook County
436,Coweta County
437,Crawford County
438,Crisp County
439,Dade County
440,Dawson County
441,Decatur County
442,DeKalb County
443,Dodge County
444,Dooly County
445,Dougherty County
446,Douglas County
447,Early County
448,Echols County
449,Effingham County
450,Elbert County
451,Emanuel County
452,Evans County
453,Fannin County
454,Fayette County
455,Floyd County
456,Forsyth County
457,Franklin County
458,Fulton County
459,Gilmer County
460,Glascock County
461,Glynn County
462,Gordon County
463,Grady County
464,Greene County
465,Gwinnett County
466,Habersham County
467,Hall County
468,Hancock County
469,Haralson County
470,Harris County
471,Hart County
472,Heard County
473,Henry County
474,Houston County
475,Irwin County
476,Jackson County
477,Jasper County
478,Jeff Davis County
479,Jefferson County
480,Jenkins County
481,Johnson County
482,Jones County
483,Lamar County
484,Lanier County
485,Laurens County
486,Lee County
487,Liberty County
488,Lincoln County
489,Long County
490,Lowndes County
491,Lumpkin County
492,McDuffie County
493,McIntosh County
494,Macon County
495,Madison County
496,Marion County
497,Meriwether County
498,Miller County
499,Mitchell County
500,Monroe County
501,Montgomery County
502,Morgan County
503,Murray County
504,Muscogee County
505,Newton County
506,Oconee County
507,Oglethorpe County
508,Paulding County
509,Peach County
510,Pickens County
511,Pierce County
512,Pike County
513,Polk County
514,Pulaski County
515,Putnam County
516,Quitman County
517,Rabun County
518,Randolph County
519,Richmond County
520,Rockdale County
521,Schley County
522,Screven County
523,Seminole County
524,Spalding County
525,Stephens County
526,Stewart County
527,Sumter County
528,Talbot County
529,Taliaferro County
530,Tattnall County
531,Taylor County
532,Telfair County
533,Terrell County
534,Thomas County
535,Tift County
536,Toombs County
537,Towns County
538,Treutlen County
539,Troup County
540,Turner County
541,Twiggs County
542,Union County
543,Upson County
544,Walker County
545,Walton County
546,Ware County
547,Warren County
548,Washington County
549,Wayne County
550,Webster County
551,Wheeler County
552,White County
553,Whitfield County
554,Wilcox County
555,Wilkes County
556,Wilkinson County
557,Worth County
558,Hawaii
559,Hawaii County
560,Honolulu County
561,Kalawao County
562,Kauai County
563,Maui County
564,Idaho
565,Ada County
566,Adams County
567,Bannock County
568,Bear Lake County
569,Benewah County
570,Bingham County
571,Blaine County
572,Boise County
573,Bonner County
574,Bonneville County
575,Boundary County
576,Butte County
577,Camas County
578,Canyon County
579,Caribou County
580,Cassia County
581,Clark County
582,Clearwater County
583,Custer County
584,Elmore County
585,Franklin County
586,Fremont County
587,Gem County
588,Gooding County
589,Idaho County
590,Jefferson County
591,Jerome County
592,Kootenai County
593,Latah County
594,Lemhi County
595,Lewis County
596,Lincoln County
597,Madison County
598,Minidoka County
599,Nez Perce County
600,Oneida County
601,Owyhee County
602,Payette County
603,Power County
604,Shoshone County
605,Teton County
606,Twin Falls County
607,Valley County
608,Washington County
609,Illinois
610,Adams County
611,Alexander County
612,Bond County
613,Boone County
614,Brown County
615,Bureau County
616,Calhoun County
617,Carroll County
