,Lat,Long_,vaccine_doses_administered_in_state,white_pop,black_pop,asian_pop,hisp_pop,Population,pop per sq mi,democrat_votes,republican_votes,democrat_percent,republican_percent,confirmed_cases
0,32.53952745,-86.64408227,1728736.0,42607.0,10474.0,572.0,1671.0,55869.0,91.8,7503.0,19838.0,27.018365142239823,71.4368023046453,6595.0
1,30.72774991,-87.72207058,1728736.0,195198.0,18972.0,1864.0,10534.0,223234.0,114.6,24578.0,83544.0,22.409029987509005,76.17137282433283,20523.0
2,31.868263,-85.3871286,1728736.0,12134.0,12622.0,110.0,1117.0,24686.0,31.0,4816.0,5622.0,45.78817265639856,53.45122646891044,2227.0
3,32.99642064,-87.1251146,1728736.0,17191.0,5882.0,46.0,623.0,22394.0,36.8,1986.0,7525.0,20.698280354351223,78.42626367899948,2543.0
4,33.98210918,-86.56790593,1728736.0,55412.0,1032.0,170.0,5582.0,57826.0,88.9,2640.0,24711.0,9.569377990430622,89.5715528490648,6446.0
5,32.10030533,-85.71265535,1728736.0,2689.0,7426.0,18.0,864.0,10101.0,17.5,3446.0,1146.0,74.70192933015392,24.842835464990245,1207.0
6,31.75300095,-86.68057478,1728736.0,10127.0,7770.0,336.0,289.0,19448.0,27.0,3965.0,5458.0,41.78962900505902,57.52529510961214,2103.0
7,33.77483727,-85.82630386,1728736.0,85322.0,22440.0,802.0,4614.0,113605.0,195.7,15216.0,35101.0,29.845242531824333,68.84843967597043,14227.0
8,32.91360079,-85.39072749,1728736.0,18970.0,12442.0,480.0,871.0,33254.0,57.4,6365.0,8753.0,41.644857367181366,57.26903951845067,3489.0
9,34.17805983,-85.60638968,1728736.0,24409.0,1116.0,74.0,449.0,26196.0,46.9,1624.0,10583.0,13.202178684659785,86.03365580034144,1810.0
10,32.85044126,-86.7173256,1728736.0,38677.0,4494.0,174.0,3636.0,44428.0,63.0,3073.0,16085.0,15.91403417918177,83.29880890730192,4041.0
11,32.02227341,-88.2656443,1728736.0,7191.0,4740.0,14.0,128.0,12589.0,15.2,3127.0,4296.0,41.89442658092176,57.556270096463024,583.0
12,31.68099859,-87.83548597,1728736.0,12518.0,9756.0,92.0,310.0,23622.0,20.9,5755.0,7324.0,43.81423677198325,55.75942139322421,3458.0
13,33.26984193,-85.85836077,1728736.0,11015.0,1734.0,38.0,435.0,13235.0,23.1,1267.0,5601.0,18.282828282828284,80.82251082251082,1483.0
14,33.67679204,-85.52005899,1728736.0,14176.0,386.0,20.0,387.0,14910.0,26.7,675.0,6484.0,9.339975093399753,89.71910889719109,1454.0
15,31.39932826,-85.98901039,1728736.0,39669.0,8858.0,640.0,4171.0,52342.0,73.6,5076.0,16899.0,22.78787878787879,75.86531986531988,5387.0
16,34.69847452,-87.80168544,1728736.0,44440.0,8216.0,304.0,1789.0,55241.0,91.8,8343.0,19203.0,29.91823854263788,68.8625116545937,6175.0
17,31.43401703,-86.99320044,1728736.0,6245.0,5048.0,22.0,277.0,12067.0,15.6,2966.0,3442.0,46.04875019406924,53.43890700201832,1087.0
18,32.93690146,-86.24847739,1728736.0,7118.0,3212.0,12.0,280.0,10663.0,17.7,1796.0,3631.0,32.779704325606865,66.27121737543348,943.0
19,31.2477854,-86.45050893,1728736.0,31311.0,4276.0,180.0,687.0,37049.0,36.6,2721.0,14586.0,15.611015490533564,83.68330464716007,4043.0
20,31.72941803,-86.31593104,1728736.0,9939.0,3018.0,160.0,333.0,13772.0,22.8,1700.0,4864.0,25.691400936980507,73.50763185733716,1503.0
21,34.13020303,-86.86888037,1728736.0,80188.0,1270.0,448.0,3752.0,83768.0,109.4,4478.0,36880.0,10.699863802537571,88.12214761893384,9390.0
22,31.43037123,-85.61095742,1728736.0,36273.0,9580.0,502.0,3450.0,49172.0,89.6,5170.0,14303.0,26.193130003039823,72.4642820954504,4763.0
23,32.32688101,-87.1086671,1728736.0,10259.0,23880.0,182.0,429.0,37196.0,44.8,12230.0,5524.0,68.46171070309002,30.922525750111955,3516.0
24,34.45946862,-85.80782906,1728736.0,66303.0,1376.0,398.0,10774.0,71513.0,91.5,4281.0,24767.0,14.583049461779536,84.36776127537811,8699.0
25,32.59785413,-86.14415284,1728736.0,61461.0,16690.0,540.0,2563.0,81209.0,128.2,10367.0,30164.0,25.26687789422374,73.51693882524982,9978.0
26,31.1256789,-87.15918694,1728736.0,22815.0,11948.0,106.0,952.0,36633.0,40.5,4918.0,10869.0,30.91137649277184,68.31552482715273,3862.0
27,34.04567266,-86.04051873,1728736.0,82501.0,15084.0,824.0,4230.0,102268.0,195.2,11567.0,35528.0,24.23524974857526,74.43848474689909,13646.0
28,33.72076938,-87.73886638,1728736.0,13980.0,1854.0,38.0,335.0,16302.0,27.5,1395.0,7300.0,15.91375770020534,83.27629477526808,2063.0
29,34.44235334,-87.84289505,1728736.0,28757.0,1552.0,110.0,5606.0,31362.0,50.0,2086.0,10376.0,16.584512641119414,82.49324216886627,4186.0
30,31.09389027,-85.83572839,1728736.0,22895.0,2362.0,88.0,1095.0,26271.0,46.6,1595.0,10848.0,12.714228776404942,86.47269828616979,2447.0
31,32.85504247,-87.95684022,1728736.0,1500.0,6066.0,22.0,139.0,8111.0,14.0,3884.0,875.0,81.34031413612566,18.32460732984293,903.0
32,32.76039258,-87.63284988,1728736.0,5963.0,7818.0,38.0,209.0,14651.0,24.5,4663.0,3192.0,59.0253164556962,40.40506329113924,2165.0
33,31.51148016,-85.24267944,1728736.0,12315.0,4194.0,66.0,463.0,17205.0,30.8,2606.0,6607.0,28.02753280275328,71.05829210582921,1869.0
